cod;code;group;name_en;name;energy;protein;carbs;fat;nonSaturatedFat;saturatedFat;sugar;fiber;cholesterol;potassium;sodium;salt;fresh;allergens
10041;10041;4;Abalone or ormer or sea ear, raw;Abulón u oreja de mar, crudo;99,6;14,4;8,69;0,83;0,21;0,15;0;0;85;215;189;0,47;TRUE;[9]
12112;12112;5;Abondance cheese, from cow's milk;Queso Abondance, de leche de vaca;393;27,1;0;31,6;8,41;20,1;0,2;0;106;120;690;1,73;FALSE;[8]
13404;13404;2;Acerola, pulp, raw, sampled in the island of La Martinique;Acerola, pulpa, cruda, muestreada en la isla de La Martinica;0;0,56;0;0,097;0,19;0,092;0;0;0;0;0;0;TRUE;[]
11168;11168;10;Aioli sauce (garlic and olive oil mayonnaise), prepacked;Salsa alioli (mayonesa de ajo y aceite de oliva), envasada;0;1,13;4,7;41;2,2;1,46;3,14;0,42;0;0;736;1,85;FALSE;[7]
26006;26006;4;Alaska pollock, raw;Abadejo de Alaska, crudo;70,8;16,3;0;0,61;0,036;0,015;0;0,17;48,4;296;190;0,48;TRUE;[]
26152;26152;4;Alaska pollock, smoked;Abadejo de Alaska, ahumado;81,3;18,3;0;0,9;0;0,1;0;0;0;0;0;0;FALSE;[]
26179;26179;4;Albacore, in olive oil, canned, drained;Atún blanco, en aceite de oliva, enlatado, escurrido;192;31,3;1,01;6,95;5,2;1,41;0;0;40,1;331;270;0,67;FALSE;[]
26076;26076;4;Albacore, raw;Atún blanco, crudo;121;27,2;0;1,37;0,49;0,26;0;0;35,2;355;77,7;0,29;TRUE;[]
26077;26077;4;Albacore, steamed under pressure;Atún blanco, cocido al vapor bajo presión;165;30;0;5,06;3,25;1,35;0;0;0;390;41,1;0,1;FALSE;[]
15032;15032;2;Alfalfa seeds, raw;Semillas de alfalfa, crudas;0;29,7;39,3;12,6;0,19;0,092;0;7,9;0;0;0;0;TRUE;[]
15029;15029;2;Alfalfa seeds, sprouted, raw;Semillas de alfalfa, germinadas, crudas;0;3,28;0,91;0,7;0,466;0,069;0,2;1,9;0;79;6;0,015;TRUE;[]
24664;24664;7;Almond cake, financier;Pastel de almendra, financiero;0;9,1;44,3;27,4;12,34;13,3;34,6;2,6;57,9;180;189;0,47;FALSE;[]
24665;24665;7;Almond cake, prepacked;Pastel de almendra, envasado;0;5,78;60,1;17,3;0;7,37;37,4;2,15;0;0;200;0,5;FALSE;[]
18107;18107;6;Almond drink not sweet, not fortified, prepacked;Bebida de almendra sin azúcar, no fortificada, envasada;36,3;1,06;0,68;3,2;2,67;0,31;0;0,5;0;31;20,5;0,051;FALSE;[]
17030;17030;9;Almond oil;Aceite de almendra;900;0;0;100;87,3;8,2;0;0;0;0;0;0;TRUE;[]
15201;15201;2;Almond paste or marzipan, prepacked;Pasta de almendra o mazapán, envasado;432;5,8;70,3;13,5;11,79;1,05;60,1;2,8;0;190;7;0,018;FALSE;[]
18110;18110;6;Almond-based drink, sweet, fortified with calcium, prepacked;Bebida a base de almendra, dulce, fortificada con calcio, envasada;44,4;0,69;3,96;2,8;2,06;0,58;3,44;0,5;0;32;38,1;0,095;FALSE;[]
15000;15000;2;Almond, (with peel);Almendra, (con cáscara);0;18,8;9,51;51,3;44,9;4,11;4,2;12,5;0;800;5;0,013;TRUE;[]
15042;15042;2;Almond, grilled, salted;Almendra, asada, salada;0;21,1;8,72;53,9;46,1;4,09;4,86;10,9;0;713;498;1,25;TRUE;[]
15041;15041;2;Almond, peeled, unpeeled or blanched;Almendra, pelada, sin pelar o blanqueada;0;21,4;8,76;52,5;45,8;3,95;4,63;9,9;0;659;19;0,048;TRUE;[]
9345;9345;3;Amaranth, raw;Amaranto, crudo;369;13,5;58,6;7,02;4,47;1,46;1,68;6,7;0;508;4;0,01;TRUE;[]
